Beverage,Beverage_category,Beverage_prep,Calories,Total_Fat_g,Sugars_g,Protein_g,Caffeine_mg
Brewed Coffee,Coffee,Short,3,0.1,0,0.3,175
Brewed Coffee,Coffee,Tall,4,0.1,0,0.5,260
Brewed Coffee,Coffee,Grande,5,0.1,0,1.0,330
Brewed Coffee,Coffee,Venti,5,0.1,0,1.0,410
Caffè Latte,Classic Espresso Drinks,Short Nonfat Milk,70,0.1,9,6.0,75
Caffè Latte,Classic Espresso Drinks,2% Milk,100,3.5,9,6.0,75
Caffè Latte,Classic Espresso Drinks,Soymilk,70,2.5,4,5.0,75
Caffè Latte,Classic Espresso Drinks,Tall Nonfat Milk,100,0.2,14,10.0,75
Caffè Latte,Classic Espresso Drinks,2% Milk,150,6.0,14,10.0,75
Caffè Latte,Classic Espresso Drinks,Soymilk,110,4.5,6,8.0,75
Caffè Latte,Classic Espresso Drinks,Grande Nonfat Milk,130,0.3,18,13.0,150
Caffè Latte,Classic Espresso Drinks,2% Milk,190,7.0,17,12.0,150
Caffè Latte,Classic Espresso Drinks,Soymilk,150,5.0,8,10.0,150
Caffè Latte,Classic Espresso Drinks,Venti Nonfat Milk,170,0.4,23,16.0,150
Caffè Latte,Classic Espresso Drinks,2% Milk,240,9.0,22,16.0,150
Caffè Latte,Classic Espresso Drinks,Soymilk,190,7.0,11,13.0,150
Caffè Mocha,Classic Espresso Drinks,Short Nonfat Milk,110,1.5,17,7.0,85
Caffè Mocha,Classic Espresso Drinks,2% Milk,130,4.0,17,6.0,85
Caffè Mocha,Classic Espresso Drinks,Soymilk,110,3.5,13,6.0,85
Caffè Mocha,Classic Espresso Drinks,Tall Nonfat Milk,170,2.0,27,10.0,95
Caffè Mocha,Classic Espresso Drinks,2% Milk,200,6.0,26,10.0,95
Caffè Mocha,Classic Espresso Drinks,Soymilk,180,5.0,20,9.0,95
Caffè Mocha,Classic Espresso Drinks,Grande Nonfat Milk,220,2.5,34,13.0,175
Caffè Mocha,Classic Espresso Drinks,2% Milk,260,8.0,34,13.0,175
Caffè Mocha,Classic Espresso Drinks,Soymilk,230,7.0,26,11.0,175
Caffè Mocha,Classic Espresso Drinks,Venti Nonfat Milk,280,3.0,44,17.0,180
Caffè Mocha,Classic Espresso Drinks,2% Milk,340,11.0,43,17.0,180
Caffè Mocha,Classic Espresso Drinks,Soymilk,290,9.0,33,14.0,180
Flavored Latte,Classic Espresso Drinks,Short Nonfat Milk,100,0.1,18,6.0,75
Flavored Latte,Classic Espresso Drinks,2% Milk,130,3.5,17,6.0,75
Flavored Latte,Classic Espresso Drinks,Soymilk,110,2.5,13,5.0,75
Flavored Latte,Classic Espresso Drinks,Tall Nonfat Milk,150,0.2,27,9.0,75
Flavored Latte,Classic Espresso Drinks,2% Milk,200,5.0,27,9.0,75
Flavored Latte,Classic Espresso Drinks,Soymilk,160,4.0,20,7.0,75
Flavored Latte,Classic Espresso Drinks,Grande Nonfat Milk,200,0.3,35,12.0,150
Flavored Latte,Classic Espresso Drinks,2% Milk,250,6.0,35,12.0,150
Flavored Latte,Classic Espresso Drinks,Soymilk,210,5.0,26,9.0,150
Flavored Latte,Classic Espresso Drinks,Venti Nonfat Milk,250,0.3,45,15.0,150
Flavored Latte,Classic Espresso Drinks,2% Milk,320,9.0,44,15.0,150
